Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
285.02	5.6217e-05	755.41	0.0013238	-88.810	-88.810	-231.54	301.42	369.88	1334.2	-0.043831	1743.5	0.13847	0.026065	0.00040409	2474.7	-28.298	-25.929	-10.919	260.08	268.40	119.82	23.263	4.1709	0.0078586
285.08	5.6535e-05	755.37	0.0013239	-88.788	-88.788	-231.47	301.45	369.91	1333.9	-0.043826	1741.3	0.13846	0.026060	0.00040630	2461.3	-28.283	-25.913	-10.909	260.13	268.45	119.83	23.241	4.1719	0.0078620
285.14	5.6855e-05	755.32	0.0013239	-88.765	-88.765	-231.39	301.49	369.94	1333.7	-0.043820	1739.1	0.13844	0.026055	0.00040851	2447.9	-28.267	-25.896	-10.899	260.17	268.49	119.84	23.219	4.1729	0.0078654
285.20	5.7177e-05	755.28	0.0013240	-88.743	-88.743	-231.31	301.52	369.97	1333.4	-0.043815	1737.0	0.13843	0.026050	0.00041073	2434.7	-28.251	-25.880	-10.889	260.22	268.54	119.85	23.197	4.1738	0.0078688
285.26	5.7500e-05	755.23	0.0013241	-88.721	-88.721	-231.23	301.56	370.00	1333.2	-0.043810	1734.8	0.13841	0.026044	0.00041297	2421.5	-28.235	-25.864	-10.878	260.26	268.58	119.87	23.175	4.1748	0.0078723
285.32	5.7825e-05	755.19	0.0013242	-88.698	-88.698	-231.15	301.60	370.03	1332.9	-0.043805	1732.7	0.13840	0.026039	0.00041521	2408.4	-28.220	-25.847	-10.868	260.31	268.63	119.88	23.153	4.1758	0.0078757
285.38	5.8152e-05	755.14	0.0013243	-88.676	-88.676	-231.07	301.63	370.06	1332.7	-0.043800	1730.5	0.13838	0.026034	0.00041747	2395.4	-28.204	-25.831	-10.858	260.36	268.67	119.89	23.131	4.1768	0.0078791
285.44	5.8480e-05	755.09	0.0013243	-88.653	-88.653	-230.99	301.67	370.09	1332.4	-0.043795	1728.4	0.13837	0.026028	0.00041974	2382.5	-28.188	-25.815	-10.848	260.40	268.72	119.90	23.109	4.1777	0.0078825
285.50	5.8810e-05	755.05	0.0013244	-88.631	-88.631	-230.91	301.70	370.12	1332.2	-0.043789	1726.2	0.13835	0.026023	0.00042201	2369.6	-28.172	-25.798	-10.837	260.45	268.76	119.92	23.087	4.1787	0.0078860
285.56	5.9141e-05	755.00	0.0013245	-88.608	-88.608	-230.84	301.74	370.16	1331.9	-0.043784	1724.1	0.13834	0.026018	0.00042430	2356.8	-28.156	-25.782	-10.827	260.49	268.81	119.93	23.065	4.1797	0.0078894
