Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
282.00	38.918	858.96	0.0011642	7.9799	8.1793	34.539	40.315	111.07	492.54	0.058544	undefined	undefined	0.0035306	110.96	0.0090124	15.807	17.351	67.061	40.388	91.177	206.18	1.3735	undefined	undefined
283.00	39.868	853.06	0.0011722	8.0791	8.2848	34.895	40.352	112.75	484.73	0.061907	undefined	undefined	0.0033697	114.38	0.0087425	15.789	17.323	66.832	40.603	93.574	205.55	1.3612	undefined	undefined
284.00	40.835	847.05	0.0011806	8.1793	8.3915	35.253	40.393	114.56	476.84	0.065462	undefined	undefined	0.0032104	117.93	0.0084793	15.770	17.294	66.599	40.822	96.152	204.90	1.3489	undefined	undefined
285.00	41.820	840.92	0.0011892	8.2804	8.4993	35.615	40.437	116.51	468.86	0.069225	undefined	undefined	0.0030527	121.62	0.0082225	15.749	17.262	66.361	41.046	98.934	204.24	1.3366	undefined	undefined
286.00	42.822	834.66	0.0011981	8.3827	8.6085	35.979	40.485	118.62	460.78	0.073216	undefined	undefined	0.0028967	125.44	0.0079717	15.726	17.229	66.119	41.275	101.95	203.56	1.3242	undefined	undefined
287.00	43.842	828.26	0.0012074	8.4861	8.7190	36.346	40.537	120.90	452.59	0.077457	undefined	undefined	0.0027424	129.42	0.0077267	15.702	17.193	65.872	41.510	105.22	202.86	1.3117	undefined	undefined
288.00	44.880	821.71	0.0012170	8.5907	8.8311	36.716	40.595	123.39	444.29	0.081972	undefined	undefined	0.0025898	133.56	0.0074872	15.676	17.155	65.618	41.751	108.79	202.15	1.2991	undefined	undefined
289.00	45.936	815.00	0.0012270	8.6966	8.9447	37.090	40.658	126.11	435.87	0.086790	undefined	undefined	0.0024391	137.88	0.0072529	15.648	17.114	65.359	41.998	112.70	201.42	1.2863	undefined	undefined
290.00	47.012	808.11	0.0012375	8.8039	9.0600	37.468	40.727	129.10	427.31	0.091943	undefined	undefined	0.0022903	142.38	0.0070235	15.618	17.071	65.093	42.252	117.00	200.67	1.2734	undefined	undefined
291.00	48.106	801.04	0.0012484	8.9128	9.1772	37.851	40.802	132.40	418.61	0.097470	undefined	undefined	0.0021435	147.09	0.0067987	15.586	17.025	64.820	42.514	121.76	199.90	1.2602	undefined	undefined
292.00	49.220	793.76	0.0012598	9.0234	9.2963	38.239	40.886	136.06	409.77	0.10341	undefined	undefined	0.0019987	152.02	0.0065783	15.551	16.976	64.539	42.784	127.05	199.11	1.2468	undefined	undefined
293.00	50.353	786.25	0.0012719	9.1359	9.4177	38.632	40.977	140.15	400.75	0.10982	undefined	undefined	0.0018560	157.19	0.0063618	15.513	16.923	64.248	43.063	132.97	198.30	1.2330	undefined	undefined
294.00	51.507	778.49	0.0012845	9.2503	9.5415	39.032	41.078	144.75	391.56	0.11676	undefined	undefined	0.0017156	162.63	0.0061491	15.473	16.867	63.948	43.353	139.65	197.48	1.2189	undefined	undefined
295.00	52.681	770.46	0.0012979	9.3670	9.6680	39.439	41.190	149.97	382.17	0.12430	undefined	undefined	0.0015775	168.36	0.0059397	15.429	16.806	63.636	43.653	147.23	196.63	1.2043	undefined	undefined
296.00	53.876	762.12	0.0013121	9.4863	9.7974	39.853	41.314	155.95	372.57	0.13253	undefined	undefined	0.0014418	174.42	0.0057333	15.382	16.741	63.312	43.966	155.93	195.75	1.1891	undefined	undefined
297.00	55.092	753.43	0.0013273	9.6084	9.9302	40.277	41.453	162.87	362.74	0.14154	undefined	undefined	0.0013088	180.85	0.0055294	15.330	16.671	62.973	44.293	166.00	194.86	1.1734	undefined	undefined
298.00	56.330	744.33	0.0013435	9.7337	10.067	40.712	41.607	170.96	352.65	0.15147	undefined	undefined	0.0011785	187.70	0.0053277	15.274	16.595	62.618	44.636	177.81	193.94	1.1569	undefined	undefined
299.00	57.591	734.79	0.0013609	9.8627	10.208	41.159	41.782	180.58	342.27	0.16247	undefined	undefined	0.0010511	195.02	0.0051276	15.213	16.512	62.244	44.996	191.85	193.00	1.1395	undefined	undefined
300.00	58.874	724.70	0.0013799	9.9960	10.354	41.620	41.979	192.22	331.57	0.17475	undefined	undefined	0.00092677	202.91	0.0049284	15.145	16.422	61.848	45.376	208.83	192.02	1.1210	undefined	undefined
