Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
261.00	2.6616	654.90	0.0015269	4.8867	4.8936	21.519	48.019	77.534	1617.4	-0.015818	195.04	0.59691	0.037094	2.1999	0.45457	25.038	27.098	106.59	31.164	42.831	396.61	4.5166	8.6860	0.022335
262.00	2.7737	653.58	0.0015300	4.9641	4.9713	21.815	47.992	77.620	1610.3	-0.015670	192.77	0.59376	0.036744	2.2870	0.43725	25.054	27.120	106.35	31.280	43.042	397.00	4.4442	8.7163	0.022412
263.00	2.8894	652.26	0.0015331	5.0416	5.0491	22.110	47.964	77.706	1603.2	-0.015521	190.55	0.59061	0.036395	2.3769	0.42072	25.070	27.141	106.11	31.397	43.256	397.39	4.3734	8.7466	0.022491
264.00	3.0090	650.93	0.0015363	5.1191	5.1270	22.404	47.937	77.793	1596.0	-0.015369	188.37	0.58748	0.036047	2.4695	0.40494	25.086	27.162	105.87	31.515	43.474	397.77	4.3040	8.7769	0.022571
265.00	3.1325	649.59	0.0015394	5.1968	5.2050	22.698	47.909	77.880	1588.9	-0.015216	186.22	0.58435	0.035700	2.5650	0.38987	25.102	27.182	105.63	31.635	43.696	398.14	4.2362	8.8073	0.022653
266.00	3.2598	648.26	0.0015426	5.2745	5.2831	22.991	47.882	77.969	1581.8	-0.015060	184.12	0.58124	0.035354	2.6633	0.37547	25.118	27.203	105.39	31.756	43.921	398.51	4.1697	8.8377	0.022735
267.00	3.3913	646.92	0.0015458	5.3523	5.3612	23.283	47.855	78.057	1574.6	-0.014902	182.05	0.57813	0.035009	2.7646	0.36171	25.134	27.223	105.16	31.878	44.150	398.86	4.1047	8.8681	0.022819
268.00	3.5269	645.57	0.0015490	5.4302	5.4395	23.574	47.828	78.147	1567.5	-0.014742	180.02	0.57503	0.034665	2.8690	0.34856	25.149	27.242	104.93	32.002	44.382	399.20	4.0410	8.8985	0.022905
269.00	3.6666	644.22	0.0015523	5.5081	5.5178	23.864	47.801	78.237	1560.3	-0.014579	178.02	0.57194	0.034323	2.9764	0.33598	25.164	27.262	104.70	32.127	44.619	399.54	3.9786	8.9290	0.022991
270.00	3.8107	642.87	0.0015555	5.5862	5.5963	24.154	47.774	78.328	1553.1	-0.014414	176.06	0.56885	0.033981	3.0870	0.32394	25.179	27.281	104.47	32.253	44.859	399.86	3.9175	8.9595	0.023079
271.00	3.9592	641.51	0.0015588	5.6643	5.6748	24.443	47.747	78.420	1546.0	-0.014247	174.13	0.56578	0.033640	3.2008	0.31243	25.194	27.300	104.24	32.380	45.103	400.18	3.8576	8.9901	0.023169
272.00	4.1122	640.14	0.0015621	5.7425	5.7535	24.731	47.720	78.513	1538.8	-0.014077	172.23	0.56272	0.033301	3.3178	0.30140	25.208	27.319	104.02	32.509	45.350	400.48	3.7989	9.0206	0.023259
273.00	4.2698	638.78	0.0015655	5.8208	5.8322	25.019	47.694	78.607	1531.6	-0.013904	170.37	0.55966	0.032962	3.4383	0.29084	25.223	27.338	103.79	32.638	45.602	400.78	3.7415	9.0512	0.023351
274.00	4.4321	637.41	0.0015689	5.8992	5.9110	25.305	47.667	78.702	1524.4	-0.013728	168.53	0.55661	0.032625	3.5622	0.28073	25.237	27.356	103.57	32.769	45.857	401.07	3.6852	9.0819	0.023445
275.00	4.5991	636.03	0.0015723	5.9776	5.9900	25.591	47.641	78.798	1517.2	-0.013550	166.73	0.55357	0.032289	3.6896	0.27103	25.251	27.374	103.35	32.902	46.117	401.35	3.6300	9.1125	0.023539
276.00	4.7710	634.65	0.0015757	6.0562	6.0690	25.876	47.615	78.895	1510.0	-0.013368	164.95	0.55054	0.031954	3.8205	0.26174	25.264	27.391	103.13	33.035	46.380	401.61	3.5759	9.1432	0.023635
277.00	4.9478	633.26	0.0015791	6.1348	6.1481	26.161	47.589	78.993	1502.8	-0.013184	163.20	0.54752	0.031620	3.9551	0.25284	25.278	27.409	102.91	33.170	46.648	401.87	3.5229	9.1740	0.023733
278.00	5.1298	631.87	0.0015826	6.2135	6.2273	26.444	47.563	79.093	1495.5	-0.012996	161.48	0.54451	0.031287	4.0935	0.24429	25.291	27.426	102.70	33.306	46.920	402.12	3.4710	9.2047	0.023832
279.00	5.3168	630.48	0.0015861	6.2923	6.3067	26.728	47.537	79.194	1488.3	-0.012806	159.79	0.54150	0.030955	4.2356	0.23609	25.305	27.442	102.48	33.443	47.196	402.36	3.4200	9.2356	0.023933
280.00	5.5092	629.08	0.0015896	6.3712	6.3861	27.010	47.511	79.296	1481.0	-0.012612	158.12	0.53850	0.030624	4.3817	0.22822	25.317	27.459	102.27	33.581	47.476	402.59	3.3701	9.2664	0.024034
281.00	5.7068	627.68	0.0015932	6.4502	6.4657	27.292	47.486	79.400	1473.8	-0.012414	156.48	0.53552	0.030294	4.5317	0.22067	25.330	27.475	102.06	33.721	47.761	402.80	3.3211	9.2973	0.024138
282.00	5.9100	626.27	0.0015968	6.5292	6.5453	27.573	47.461	79.506	1466.5	-0.012214	154.86	0.53254	0.029965	4.6857	0.21342	25.343	27.491	101.85	33.861	48.050	403.01	3.2731	9.3282	0.024243
283.00	6.1187	624.85	0.0016004	6.6084	6.6251	27.853	47.435	79.613	1459.2	-0.012009	153.27	0.52956	0.029638	4.8439	0.20645	25.355	27.506	101.64	34.003	48.344	403.21	3.2260	9.3591	0.024349
284.00	6.3330	623.43	0.0016040	6.6876	6.7049	28.133	47.411	79.721	1451.9	-0.011801	151.70	0.52660	0.029311	5.0062	0.19975	25.367	27.521	101.43	34.146	48.642	403.40	3.1799	9.3901	0.024457
285.00	6.5531	622.01	0.0016077	6.7670	6.7849	28.412	47.386	79.832	1444.6	-0.011589	150.15	0.52365	0.028986	5.1729	0.19332	25.379	27.536	101.22	34.290	48.944	403.57	3.1346	9.4212	0.024566
286.00	6.7791	620.58	0.0016114	6.8464	6.8650	28.690	47.361	79.944	1437.3	-0.011374	148.62	0.52070	0.028662	5.3439	0.18713	25.390	27.551	101.02	34.435	49.252	403.74	3.0902	9.4523	0.024677
287.00	7.0110	619.14	0.0016151	6.9259	6.9452	28.968	47.337	80.058	1429.9	-0.011154	147.12	0.51776	0.028339	5.5194	0.18118	25.402	27.565	100.81	34.582	49.564	403.90	3.0466	9.4834	0.024790
288.00	7.2490	617.70	0.0016189	7.0056	7.0256	29.245	47.313	80.174	1422.6	-0.010930	145.64	0.51483	0.028017	5.6995	0.17545	25.413	27.579	100.61	34.729	49.881	404.04	3.0038	9.5146	0.024904
289.00	7.4932	616.26	0.0016227	7.0853	7.1060	29.521	47.289	80.292	1415.2	-0.010702	144.18	0.51190	0.027696	5.8842	0.16995	25.424	27.593	100.41	34.878	50.203	404.18	2.9619	9.5459	0.025020
290.00	7.7436	614.81	0.0016265	7.1651	7.1866	29.797	47.266	80.412	1407.8	-0.010470	142.74	0.50899	0.027376	6.0737	0.16465	25.435	27.606	100.21	35.028	50.530	404.30	2.9207	9.5771	0.025138
291.00	8.0005	613.35	0.0016304	7.2450	7.2673	30.072	47.242	80.535	1400.4	-0.010233	141.31	0.50608	0.027057	6.2680	0.15954	25.445	27.619	100.01	35.178	50.862	404.42	2.8803	9.6085	0.025257
292.00	8.2638	611.89	0.0016343	7.3251	7.3481	30.347	47.219	80.659	1393.0	-0.0099917	139.91	0.50318	0.026740	6.4672	0.15463	25.455	27.631	99.811	35.330	51.200	404.52	2.8407	9.6399	0.025378
293.00	8.5337	610.42	0.0016382	7.4052	7.4290	30.621	47.196	80.786	1385.6	-0.0097456	138.53	0.50029	0.026423	6.6714	0.14989	25.465	27.644	99.613	35.483	51.542	404.61	2.8018	9.6714	0.025500
294.00	8.8103	608.95	0.0016422	7.4854	7.5101	30.895	47.174	80.915	1378.2	-0.0094946	137.16	0.49741	0.026108	6.8808	0.14533	25.475	27.656	99.417	35.637	51.890	404.70	2.7636	9.7029	0.025624
295.00	9.0938	607.47	0.0016462	7.5658	7.5913	31.168	47.151	81.047	1370.7	-0.0092387	135.82	0.49453	0.025794	7.0954	0.14094	25.484	27.667	99.222	35.792	52.244	404.77	2.7262	9.7346	0.025750
296.00	9.3841	605.98	0.0016502	7.6462	7.6726	31.440	47.129	81.181	1363.2	-0.0089776	134.49	0.49166	0.025481	7.3154	0.13670	25.494	27.678	99.027	35.949	52.603	404.83	2.6894	9.7662	0.025878
297.00	9.6815	604.49	0.0016543	7.7268	7.7541	31.712	47.107	81.319	1355.7	-0.0087112	133.17	0.48880	0.025169	7.5408	0.13261	25.503	27.689	98.834	36.106	52.968	404.87	2.6533	9.7980	0.026008
298.00	9.9861	602.99	0.0016584	7.8075	7.8357	31.984	47.086	81.458	1348.2	-0.0084395	131.88	0.48594	0.024858	7.7717	0.12867	25.511	27.700	98.641	36.264	53.339	404.91	2.6179	9.8298	0.026139
299.00	10.298	601.48	0.0016626	7.8882	7.9174	32.255	47.065	81.601	1340.7	-0.0081621	130.60	0.48309	0.024548	8.0083	0.12487	25.520	27.710	98.450	36.423	53.716	404.94	2.5831	9.8618	0.026273
300.00	10.617	599.97	0.0016667	7.9691	7.9993	32.525	47.044	81.747	1333.2	-0.0078790	129.33	0.48025	0.024240	8.2507	0.12120	25.528	27.720	98.259	36.584	54.099	404.95	2.5489	9.8938	0.026408
